DRAW_ID,DAY,MONTH,DATE,YEAR,BALL1,BALL2,BALL3,BALL4,BALL5,Multiplier
1,Tue,Oct,5th,1999,8,15,16,17,18,1,
2,Thu,Oct,7th,1999,1,2,9,11,20,1,
3,Tue,Oct,12th,1999,7,9,17,18,20,1,
4,Thu,Oct,14th,1999,3,4,8,14,16,1,
5,Tue,Oct,19th,1999,3,5,9,12,20,1,
6,Thu,Oct,21st,1999,2,13,15,16,20,1,
7,Tue,Oct,26th,1999,2,6,11,14,15,1,
8,Thu,Oct,28th,1999,2,3,5,7,16,1,
9,Tue,Nov,2nd,1999,2,9,10,11,13,1,
10,Thu,Nov,4th,1999,1,11,18,19,20,1,
11,Tue,Nov,9th,1999,3,7,11,15,19,1,
12,Thu,Nov,11th,1999,1,5,7,12,16,1,
13,Tue,Nov,16th,1999,3,11,14,17,20,1,
14,Thu,Nov,18th,1999,2,10,12,15,17,1,
15,Tue,Nov,23rd,1999,1,2,13,14,16,1,
16,Thu,Nov,25th,1999,1,3,6,9,10,1,
17,Tue,Nov,30th,1999,8,9,14,15,20,1,
18,Thu,Dec,2nd,1999,3,9,10,12,20,1,
19,Tue,Dec,7th,1999,3,4,7,10,14,1,
20,Thu,Dec,9th,1999,2,4,8,12,20,1,
21,Tue,Dec,14th,1999,4,5,8,17,20,1,
22,Thu,Dec,16th,1999,2,8,15,17,19,1,
23,Mon,Dec,20th,1999,6,7,9,13,20,1,
24,Thu,Dec,23rd,1999,10,14,15,18,20,1,
25,Mon,Dec,27th,1999,3,6,9,13,16,1,
26,Thu,Dec,30th,1999,3,4,7,12,14,1,
27,Tue,Jan,4th,2000,1,8,13,15,17,1,
28,Thu,Jan,6th,2000,7,8,9,10,20,1,
29,Tue,Jan,11th,2000,4,5,12,14,17,1,
30,Thu,Jan,13th,2000,1,8,10,13,16,1,
31,Tue,Jan,18th,2000,2,6,13,15,20,1,
32,Thu,Jan,20th,2000,2,3,5,14,16,1,
33,Tue,Jan,25th,2000,3,4,5,6,20,1,
34,Thu,Jan,27th,2000,1,3,4,8,19,1,
35,Tue,Feb,1st,2000,2,4,7,8,12,1,
36,Thu,Feb,3rd,2000,2,4,6,8,12,1,
37,Tue,Feb,8th,2000,3,6,12,17,19,1,
38,Thu,Feb,10th,2000,1,4,14,15,20,1,
39,Tue,Feb,15th,2000,1,4,7,13,19,1,
40,Thu,Feb,17th,2000,1,2,10,11,16,1,
41,Tue,Feb,22nd,2000,6,8,15,17,20,1,
42,Thu,Feb,24th,2000,5,7,11,12,16,1,
43,Tue,Feb,29th,2000,1,4,5,8,20,1,
44,Thu,Mar,2nd,2000,1,4,5,14,20,1,
45,Tue,Mar,7th,2000,4,5,8,14,15,1,
46,Thu,Mar,9th,2000,7,9,12,16,19,1,
47,Tue,Mar,14th,2000,1,4,10,16,19,1,
48,Thu,Mar,16th,2000,5,9,13,14,20,1,
49,Tue,Mar,21st,2000,1,4,6,9,16,1,
50,Thu,Mar,23rd,2000,2,7,8,12,16,1,
51,Tue,Mar,28th,2000,2,6,7,16,19,1,
52,Fri,Mar,31st,2000,4,9,11,12,18,1,
53,Tue,Apr,4th,2000,4,6,7,13,18,1,
54,Thu,Apr,6th,2000,3,6,9,10,14,1,
55,Tue,Apr,11th,2000,2,8,15,16,17,1,
56,Thu,Apr,13th,2000,6,7,8,11,14,1,
57,Tue,Apr,18th,2000,6,12,16,17,19,1,
58,Thu,Apr,20th,2000,3,5,8,17,19,1,
59,Tue,Apr,25th,2000,3,6,13,18,20,1,
60,Thu,Apr,27th,2000,7,11,12,15,18,1,
61,Tue,May,2nd,2000,2,6,9,14,20,1,
