DRAW_ID,DAY,MONTH,DATE,YEAR,BALL1,BALL2,BALL3,BALL4,BALL5,POWER_BALL
1,Wed,Jul,4th,2001,4,10,11,12,18,2
2,Sat,Jul,7th,2001,2,10,11,26,28,10
3,Wed,Jul,11th,2001,5,10,11,13,15,10
4,Sat,Jul,14th,2001,9,11,24,26,33,4
5,Wed,Jul,18th,2001,8,11,12,19,31,10
6,Sat,Jul,21st,2001,6,13,16,25,36,5
7,Wed,Jul,25th,2001,4,11,12,24,28,7
8,Sat,Jul,28th,2001,5,8,24,29,31,10
9,Wed,Aug,1st,2001,1,8,22,31,33,6
10,Sat,Aug,4th,2001,5,8,22,25,28,6
11,Wed,Aug,8th,2001,1,9,15,23,32,1
12,Sat,Aug,11th,2001,5,14,18,21,30,7
13,Wed,Aug,15th,2001,3,4,16,17,34,4
14,Sat,Aug,18th,2001,10,13,21,23,24,2
15,Wed,Aug,22nd,2001,2,5,10,14,15,1
16,Sat,Aug,25th,2001,4,25,30,32,34,3
17,Wed,Aug,29th,2001,5,9,17,18,24,4
18,Sat,Sep,1st,2001,3,19,26,28,33,7
19,Wed,Sep,5th,2001,1,7,8,11,21,7
20,Sat,Sep,8th,2001,10,16,21,22,36,2
21,Wed,Sep,12th,2001,2,6,17,20,35,6
22,Sat,Sep,15th,2001,7,20,23,25,35,10
23,Wed,Sep,19th,2001,6,10,18,24,32,5
24,Sat,Sep,22nd,2001,8,16,22,31,36,2
25,Wed,Sep,26th,2001,1,5,17,20,36,5
26,Sat,Sep,29th,2001,4,5,26,30,34,9
27,Wed,Oct,3rd,2001,1,9,12,15,30,10
28,Sat,Oct,6th,2001,2,3,18,22,31,10
29,Wed,Oct,10th,2001,13,17,28,30,32,1
30,Sat,Oct,13th,2001,5,8,10,23,32,6
31,Wed,Oct,17th,2001,0,14,19,31,32,4
32,Sat,Oct,20th,2001,12,13,14,32,36,5
33,Wed,Oct,24th,2001,1,12,18,19,36,3
34,Sat,Oct,27th,2001,6,15,16,17,28,3
35,Wed,Oct,31st,2001,7,24,26,27,32,9
36,Sat,Nov,3rd,2001,1,20,29,34,36,4
37,Wed,Nov,7th,2001,11,12,14,25,29,3
38,Sat,Nov,10th,2001,4,7,11,14,19,9
39,Wed,Nov,13th,2001,3,4,10,16,31,2
40,Sat,Nov,17th,2001,6,9,16,21,30,10
41,Wed,Nov,21st,2001,6,8,14,31,36,9
42,Sat,Nov,24th,2001,6,19,20,25,34,1
43,Wed,Nov,28th,2001,6,8,15,27,28,1
44,Sat,Dec,1st,2001,7,12,17,19,20,3
45,Wed,Dec,5th,2001,13,14,24,27,34,7
46,Sat,Dec,8th,2001,3,10,12,18,26,6
47,Wed,Dec,12th,2001,7,27,28,32,33,9
48,Sat,Dec,15th,2001,9,27,29,34,36,9
49,Wed,Dec,19th,2001,17,18,24,31,34,10
50,Sat,Dec,22nd,2001,8,9,19,21,23,7
51,Wed,Dec,26th,2001,15,23,24,29,36,5
52,Sat,Dec,29th,2001,1,7,15,26,29,10
53,Wed,Jan,2nd,2002,3,7,22,35,36,9
54,Sat,Jan,5th,2002,10,16,17,18,26,8
55,Wed,Jan,9th,2002,2,16,18,34,36,4
56,Sat,Jan,12th,2002,1,4,10,23,28,5
57,Wed,Jan,16th,2002,2,16,28,31,34,2
58,Sat,Jan,19th,2002,11,12,24,27,34,2
59,Wed,Jan,23rd,2002,2,16,27,35,36,9
60,Sat,Jan,26th,2002,10,22,29,32,35,4
61,Wed,Jan,30th,2002,5,8,21,25,36,8
62,Sat,Feb,2nd,2002,1,19,20,29,30,6
63,Wed,Feb,6th,2002,3,7,17,25,33,8
64,Sat,Feb,9th,2002,4,20,25,29,33,1
65,Wed,Feb,13th,2002,3,4,23,26,29,5
66,Sat,Feb,16th,2002,17,20,22,32,34,9
67,Wed,Feb,20th,2002,3,14,16,20,28,8
68,Sat,Feb,23rd,2002,2,13,16,22,31,4
69,Wed,Feb,27th,2002,1,14,15,23,25,5
70,Sat,Mar,2nd,2002,13,15,16,33,35,8
71,Wed,Mar,6th,2002,9,10,22,25,34,5
72,Sat,Mar,9th,2002,1,8,14,17,29,9
73,Wed,Mar,13th,2002,7,10,16,21,22,7
74,Sat,Mar,16th,2002,13,19,24,28,35,8
75,Wed,Mar,20th,2002,12,19,23,32,33,7
76,Sat,Mar,23rd,2002,1,3,5,14,24,6
77,Wed,Mar,27th,2002,4,9,17,25,34,5
78,Wed,Apr,3rd,2002,3,7,20,21,34,9
79,Sat,Apr,6th,2002,21,25,28,33,34,4
80,Wed,Apr,10th,2002,1,15,20,29,31,7
81,Sat,Apr,13th,2002,16,18,31,35,36,7
82,Wed,Apr,17th,2002,12,18,20,29,31,10
83,Sat,Apr,20th,2002,1,3,15,26,28,7
84,Wed,Apr,24th,2002,10,14,15,19,34,9
85,Sat,Apr,27th,2002,2,4,5,7,17,7
86,Wed,May,1st,2002,2,6,8,29,32,7
87,Sat,May,4th,2002,3,5,8,13,27,5
88,Wed,May,8th,2002,3,6,21,29,31,1
89,Sat,May,11th,2002,4,19,20,24,26,4
90,Wed,May,15th,2002,9,13,21,29,31,5
91,Sat,May,18th,2002,2,7,18,24,34,5
92,Wed,May,22nd,2002,1,2,4,29,32,7
93,Sat,May,25th,2002,6,9,15,22,32,4
94,Wed,May,29th,2002,5,7,8,11,19,8
95,Sat,Jun,1st,2002,6,16,20,23,36,6
96,Wed,Jun,5th,2002,7,18,22,23,34,7
97,Sat,Jun,8th,2002,6,13,14,23,34,6
98,Wed,Jun,12th,2002,8,12,15,26,32,10
99,Sat,Jun,15th,2002,1,8,19,20,21,9
100,Wed,Jun,19th,2002,1,5,6,14,35,10
101,Sat,Jun,22nd,2002,5,14,22,26,28,8
